1B,1M,1A,10B,10M,10A,11B,11M,11A,13B,13M,13A,18B,18M,18A,19B,19M,19A,20B,20M,20A,PCI,Classe
0.000,0.008,0.220,0.000,0.000,0.148,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000,0.000,0.270,0.000,0.188,Péssimo
0.000,0.000,0.182,0.007,0.000,0.000,0.000,0.038,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,0.566,0.000,0.070,Péssimo
0.000,0.008,0.000,0.000,0.187,0.287,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.724,0.000,0.381,Muito Ruim
0.000,0.105,0.074,0.000,0.013,0.204,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.717,0.132,Péssimo
0.000,0.000,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.646,0.003,0.000,0.963,Excelente
0.000,0.000,0.000,0.062,0.013,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.842,0.000,0.000,0.901,Excelente
0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.853,0.000,0.000,1.000,Excelente
0.000,0.000,0.000,0.158,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.866,0.001,0.000,0.956,Excelente
0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.868,0.001,0.000,0.999,Excelente
0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.868,0.001,0.000,0.932,Excelente
0.002,0.011,0.000,0.005,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.716,0.079,0.000,0.718,Satisfatório
0.000,0.000,0.000,0.058,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.810,0.000,0.000,0.974,Excelente
0.000,0.000,0.000,0.063,0.010,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.849,0.000,0.000,0.831,Satisfatório
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.530,0.002,0.000,1.000,Excelente
0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.503,0.030,0.000,0.978,Excelente
0.000,0.000,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.902,0.024,0.000,0.966,Excelente
0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.919,0.000,0.000,0.999,Excelente
0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.815,0.115,0.000,0.810,Satisfatório
0.013,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.703,0.064,0.000,0.846,Satisfatório
0.031,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.702,0.065,0.000,0.768,Satisfatório
0.016,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.766,0.000,0.000,0.858,Excelente
0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.749,0.087,0.000,0.939,Excelente
0.000,0.000,0.000,0.162,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.764,0.000,0.000,0.945,Excelente
0.000,0.000,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.758,0.000,0.000,0.977,Excelente
0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.004,0.000,1.000,Excelente
0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.734,0.032,0.000,0.978,Excelente
0.000,0.000,0.000,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.764,0.002,0.000,0.966,Excelente
0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.004,0.000,1.000,Excelente
0.000,0.000,0.000,0.014,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.766,0.000,0.000,0.979,Excelente
0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.766,0.000,0.000,1.000,Excelente
0.002,0.000,0.000,0.101,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.383,0.383,0.000,0.822,Satisfatório
0.000,0.000,0.000,0.100,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.765,0.001,0.000,0.967,Excelente
0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.766,0.000,0.896,Excelente
0.000,0.000,0.000,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.798,0.000,0.000,0.962,Excelente
0.000,0.000,0.000,0.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940,0.035,0.000,0.848,Satisfatório
0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.996,0.000,0.000,1.000,Excelente
0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.732,0.028,0.000,0.980,Excelente
0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.618,0.011,0.000,0.994,Excelente
0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.547,0.011,0.000,0.979,Excelente
0.000,0.000,0.000,0.411,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.943,0.014,0.000,0.888,Excelente
0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.740,0.003,0.000,0.979,Excelente
0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.620,0.000,0.000,0.996,Excelente
0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.620,0.000,0.000,1.000,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.582,0.000,0.000,1.000,Excelente
0.000,0.000,0.000,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.557,0.025,0.000,0.922,Excelente
0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.763,0.014,0.000,0.973,Excelente
0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.768,0.010,0.000,0.991,Excelente
0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.000,0.000,0.984,Excelente
0.001,0.000,0.143,0.000,0.000,0.027,0.004,0.011,0.067,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.084,0.000,0.262,0.261,0.032,Péssimo
0.008,0.009,0.015,0.016,0.045,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.570,0.081,0.418,Ruim
0.004,0.016,0.564,0.062,0.000,0.000,0.006,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.621,0.031,0.011,Péssimo
0.007,0.031,0.189,0.000,0.121,0.015,0.002,0.124,0.004,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.424,0.024,0.054,Péssimo
0.000,0.067,0.106,0.000,0.048,0.051,0.004,0.113,0.009,0.300,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.404,0.049,0.036,Péssimo
0.009,0.000,0.316,0.005,0.107,0.000,0.003,0.076,0.003,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.024,0.042,Péssimo
0.010,0.164,0.071,0.018,0.013,0.033,0.000,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.795,0.031,0.178,Péssimo
0.000,0.037,0.225,0.000,0.000,0.000,0.000,0.010,0.000,0.500,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.443,0.257,0.126,0.133,Péssimo
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.811,0.015,0.000,0.994,Excelente
